#Date	amazon	google
04/02/2015	358.38	529.24
05/02/2015	366	523.79
06/02/2015	374.87	527.64
09/02/2015	371	528
10/02/2015	371.19	529.3
11/02/2015	371.23	535.3
12/02/2015	375.1	537.25
13/02/2015	378.41	543.35
17/02/2015	377.72	546.83
18/02/2015	375.42	541.4
19/02/2015	373.49	538.04
20/02/2015	378.62	543.13
23/02/2015	383.44	536.05
24/02/2015	378.65	530
25/02/2015	377.27	535.9
26/02/2015	384.07	543.21
27/02/2015	384	554.24
02/03/2015	380.85	560.53
03/03/2015	383.95	570.45
04/03/2015	385.71	571.87
05/03/2015	385.61	575.02
06/03/2015	385.52	574.88
09/03/2015	378.4	566.86
10/03/2015	377.45	564.25
11/03/2015	370.61	555.14
12/03/2015	368.82	553.51
13/03/2015	371.52	553.5
16/03/2015	370.38	550.95
17/03/2015	371.11	551.71
18/03/2015	369.97	552.5
19/03/2015	373.87	559.39
20/03/2015	376.29	561.65
23/03/2015	378.07	560.43
24/03/2015	373.99	562.56
25/03/2015	375.17	570.5
26/03/2015	369.59	557.59
27/03/2015	367.11	553
30/03/2015	371.87	551.62
31/03/2015	373.24	550
01/04/2015	372.1	548.6
02/04/2015	370.5	540.85
06/04/2015	370.1	532.22
07/04/2015	376.15	538.08
08/04/2015	374.66	538.38
09/04/2015	380.66	541.03
10/04/2015	384.31	542.29
13/04/2015	383.53	538.41
14/04/2015	383.51	536.25
15/04/2015	384.65	528.7
16/04/2015	383.69	529.9
17/04/2015	382.63	528.66
20/04/2015	378.55	525.6
21/04/2015	391.31	537.51
22/04/2015	391.91	534.4
23/04/2015	390.21	541
24/04/2015	439	566.1
27/04/2015	443.86	563.39
28/04/2015	438.51	554.64
29/04/2015	426.75	550.47
30/04/2015	427.11	547.87
01/05/2015	423.82	538.43
04/05/2015	424.8	538.53
05/05/2015	422.85	538.21
06/05/2015	421.43	531.24
07/05/2015	424.15	523.99
08/05/2015	430.75	536.65
11/05/2015	432.51	538.37
12/05/2015	431.08	531.6
13/05/2015	429.98	530.56
14/05/2015	429.45	533.77
15/05/2015	428	539.18
18/05/2015	426	532.01
19/05/2015	424.87	533.98
20/05/2015	420.6	538.49
21/05/2015	428	537.95
22/05/2015	431.55	540.15
26/05/2015	426.2	538.12
27/05/2015	427.45	532.8
28/05/2015	429.71	538.01
29/05/2015	427.23	537.37
01/06/2015	430.4	536.79
02/06/2015	430.07	532.93
03/06/2015	434.4	539.91
04/06/2015	434.4	537.76
05/06/2015	429.66	536.35
08/06/2015	425.62	533.31
09/06/2015	422.96	527.56
10/06/2015	426.46	529.36
11/06/2015	432.29	538.42
12/06/2015	431.25	531.6
15/06/2015	427.66	528
16/06/2015	424.15	528.4
17/06/2015	428.36	529.37
18/06/2015	430.3	531
19/06/2015	440.26	537.21
22/06/2015	437	539.59
23/06/2015	435.59	539.64
24/06/2015	444.97	540
25/06/2015	438.07	538.87
26/06/2015	441.76	537.26
29/06/2015	434.98	525.01
30/06/2015	434.2	526.02
01/07/2015	439.35	524.73
02/07/2015	437	521.08
06/07/2015	435.23	519.5
07/07/2015	435.68	523.13
08/07/2015	434.35	521.05
09/07/2015	434.9	523.12
10/07/2015	440.49	526.29
13/07/2015	448.29	532.88
14/07/2015	462.32	546.76
15/07/2015	463.04	560.13
16/07/2015	465.5	565.12
17/07/2015	477.7	649
20/07/2015	492.57	659.24
21/07/2015	487.9	655.21
22/07/2015	485.99	660.89
23/07/2015	491.66	661.27
24/07/2015	578.99	647
27/07/2015	527.75	621
28/07/2015	536	632.83
29/07/2015	530.92	628.8
30/07/2015	527.65	630
31/07/2015	539.09	631.38
03/08/2015	537.45	625.34
04/08/2015	529.69	628.42
05/08/2015	538.8	634.33
06/08/2015	539.3	645
07/08/2015	529.16	640.23
10/08/2015	528.52	639.48
11/08/2015	523.65	669.2
12/08/2015	523.75	663.08
13/08/2015	527.37	659.32
14/08/2015	528.25	655.01
17/08/2015	531.29	656.8
18/08/2015	535.04	661.9
19/08/2015	533.74	656.6
20/08/2015	530.39	655.46
21/08/2015	507.36	639.78
24/08/2015	463.58	573
25/08/2015	487.49	614.91
26/08/2015	484.02	610.35
27/08/2015	513.71	639.4
28/08/2015	517.5	632.82
31/08/2015	516.44	627.54
01/09/2015	499.14	602.36
02/09/2015	505.09	605.59
03/09/2015	514.5	617
04/09/2015	497.65	600
08/09/2015	508.69	612.49
09/09/2015	524	621.22
10/09/2015	515.15	613.1
11/09/2015	521.07	619.75
14/09/2015	529.44	625.7
15/09/2015	523.25	626.7
16/09/2015	521.98	635.47
17/09/2015	526.98	637.79
18/09/2015	534.62	636.79
21/09/2015	544.33	634.4
22/09/2015	539.71	627
23/09/2015	538.3	622.05
24/09/2015	530.55	616.64
25/09/2015	542.57	629.77
28/09/2015	520.02	610.34
29/09/2015	506	597.28
30/09/2015	505.44	603.28
01/10/2015	511	608.37
02/10/2015	512.99	607.2
06/10/2015	545.5	638.84
12/10/2015	539.96	642.09
13/10/2015	546.26	643.15
14/10/2015	551.34	653.21
15/10/2015	547.75	654.66
16/10/2015	565.27	664.11
19/10/2015	570.76	661.18
20/10/2015	572	664.04
21/10/2015	563.87	654.15
22/10/2015	562.7	646.7
23/10/2015	617.68	727.5
26/10/2015	602.3	701.55
27/10/2015	608.6	707.38
28/10/2015	612.3	707.33
29/10/2015	617.7	710.5
30/10/2015	626.01	715.73
02/11/2015	627.13	711.06
03/11/2015	629.53	718.86
04/11/2015	627.76	722
05/11/2015	647.1	729.47
06/11/2015	655	731.5
09/11/2015	658.65	730.2
10/11/2015	653	724.4
11/11/2015	663.25	732.46
12/11/2015	673	731
13/11/2015	663.57	729.17
16/11/2015	640.92	715.6
17/11/2015	650.65	729.29
18/11/2015	646.51	727.58
19/11/2015	664.99	738.74
20/11/2015	663.95	746.53
23/11/2015	671.5	757.45
24/11/2015	674.14	752
25/11/2015	675	748.14
27/11/2015	680.8	748.46
30/11/2015	675.9	748.81
01/12/2015	673.75	747.11
02/12/2015	681	768.9
03/12/2015	679.44	766.01
04/12/2015	666	753.1
07/12/2015	674.74	767.77
08/12/2015	663.13	757.89
09/12/2015	678	759.17
10/12/2015	665.59	752.85
11/12/2015	651.23	741.16
14/12/2015	641.75	741.79
15/12/2015	665.03	753
16/12/2015	663.56	750
17/12/2015	680	762.42
18/12/2015	668.65	746.51
21/12/2015	668.5	746.13
22/12/2015	666.83	751.65
23/12/2015	666.5	753.47
24/12/2015	663.35	749.55
28/12/2015	665.56	752.92
29/12/2015	677.98	766.69
30/12/2015	691.89	776.6
31/12/2015	686.08	769.5
04/01/2016	656.29	743
05/01/2016	646.86	746.45
06/01/2016	622	730
07/01/2016	621.8	730.31
08/01/2016	619.66	731.45
11/01/2016	612.48	716.61
12/01/2016	625.25	721.68
13/01/2016	620.88	730.85
14/01/2016	580.25	705.38
15/01/2016	572.24	692.29
19/01/2016	577.09	703.3
20/01/2016	564.36	688.61
21/01/2016	573.58	702.18
22/01/2016	588.73	723.6
25/01/2016	597.99	723.58
26/01/2016	603.45	713.85
27/01/2016	601.99	713.67
28/01/2016	608.37	722.22
29/01/2016	571.98	731.53
01/02/2016	578.15	750.46
02/02/2016	570	784.5
03/02/2016	553.5	770.22
