ID,Response,Group,X1,X2,X3,X4,X5,X6,X7,Y1,Y2,Y3,Y4,Y5,Y6,Y7
1,0,0,460,460,460,50.21,9.15,2.3,273.6,1,1,1,0,0,1,0
2,0,1,74,,,812.5,0.88,4.1,406.6,1,,,1,0,2,0
3,0,1,58,0,0,87.71,0.39,4.7,946.1,1,0,0,1,0,2,1
4,0,0,39,,,92.14,26.79,3.1,534.6,1,,,1,1,1,1
5,0,1,15,45,60,75.24,16.6,3.6,1019.4,0,0,0,1,0,2,1
6,0,0,47,141,188,58.36,11.1,2.6,643.6,1,0,0,0,0,1,1
7,0,1,23,69,92,47.27,0.14,7.1,2682.6,0,0,0,0,0,2,1
8,0,1,14,126,224,45.44,0.1,2.4,238,0,0,0,0,0,1,0
9,0,0,56,0,0,59.5,11.68,2.7,478.5,1,0,0,0,1,1,0
10,0,0,40,120,160,65.57,14.02,2.6,189.4,1,0,0,0,1,1,0
11,0,1,8,24,32,50.95,7.73,2.6,235.2,0,0,0,0,0,1,0
12,0,0,62,62,62,50.63,8.31,3,1009,1,0,0,0,0,1,1
13,0,1,19,,,265.9,0.47,3.2,197.4,0,,,1,0,1,0
14,0,1,11,33,44,76.1,0.14,3.5,455,0,0,0,1,0,1,0
15,0,0,63,63,63,44.47,6.24,2.9,366,1,0,0,0,0,1,0
16,0,0,178,534,712,53.49,9.94,,179.3,1,1,1,0,0,,0
17,0,0,11,,,46.35,6.18,4.1,863.4,0,,,0,0,2,1
18,0,0,12,,,43.78,5.47,,231.5,0,,,0,0,,0
19,0,1,15,,,38.49,9.02,,1057.5,0,,,0,0,,1
20,0,1,11,99,176,68.19,12.53,4,500.5,0,0,0,0,0,2,1
21,0,1,71,213,284,181.3,60.79,3.5,486.9,1,0,1,1,1,1,0
22,0,1,14,0,0,132.2,25.38,2.3,256.6,0,0,0,1,0,1,0
23,0,1,451,4059,7216,73.92,70.24,3.7,1122.6,1,1,1,1,1,2,1
24,0,0,234,,,74.54,19.82,2.5,1493,1,,,1,1,1,1
25,0,1,25,225,400,54.1,17.03,3.6,2879.9,0,0,1,0,0,2,1
26,0,1,10,30,40,55.37,9.71,,674.1,0,0,0,0,0,,1
27,0,1,19,171,304,61.22,16.04,3.5,243.1,0,0,1,0,0,1,0
28,0,0,1123,3369,4492,55.33,11.83,3.2,1777.7,1,1,1,0,1,1,1
29,0,1,5,0,0,58.49,6.41,2.9,499.3,0,0,0,0,0,1,0
30,0,1,37,,,76.82,28.26,1.1,787.2,1,,,1,0,0,1
31,0,0,63,63,63,41.94,5.48,3.1,209.3,1,0,0,0,0,1,0
32,0,0,11,33,44,51.56,7.83,2.9,332.4,0,0,0,0,0,1,0
33,0,0,39,39,39,40.58,4.94,,271.7,1,0,0,0,0,,0
34,0,0,25,25,25,79.01,19.2,3.5,467.2,0,0,0,1,1,1,0
35,0,1,6,18,24,93.51,11.32,,745.1,0,0,0,1,0,,1
36,0,1,8,,128,40.62,6.21,2.7,175.6,0,,0,0,0,1,0
37,0,0,8,,,64.65,12.48,,3959.6,0,,,0,1,,1
38,0,1,6,18,24,51.2,6.38,,702.3,0,0,0,0,0,,1
39,0,1,41,369,656,79.81,30.64,3.7,1166.4,1,1,1,1,1,2,1
40,0,1,11,33,44,61.44,11.39,,460.5,0,0,0,0,0,,0
41,0,1,51,459,816,52.59,25.15,2.6,365.6,1,1,1,0,0,1,0
42,0,1,9,27,36,61.42,9.98,3.8,705,0,0,0,0,0,2,1
43,0,1,16,0,0,97.62,21.48,,1061.6,0,0,0,1,0,,1
44,0,1,17,153,272,81.22,19.11,3.2,355.4,0,0,1,1,0,1,0
45,0,1,17,0,0,47.95,12.01,3.7,239,0,0,0,0,0,2,0
46,0,1,6,18,24,77.05,9.45,3.5,198.6,0,0,0,1,0,1,0
47,0,1,31,93,124,61.91,21.66,4.1,508.9,0,0,0,0,0,2,1
48,0,1,5,,,49.87,5.45,,1147.3,0,,,0,0,,1
49,0,1,11,,,80.74,14.58,4.5,1450.6,0,,,1,0,2,1
50,0,1,22,198,352,66.68,18.86,2.7,162.6,0,0,1,0,0,1,0
51,0,1,13,,,92.82,18.23,,,0,,,1,0,,
52,0,1,24,,,74.58,21.77,,608.7,0,,,1,0,,1
53,0,1,27,243,432,59.71,19.4,4.2,951.6,0,0,1,0,0,2,1
54,0,1,16,48,64,42.46,10.32,3,152.9,0,0,0,0,0,1,0
55,0,1,744,,,49.04,68.96,5,2228.4,1,,,0,1,2,1
56,0,0,11,0,0,41.56,4.84,3.7,161.9,0,0,0,0,0,2,0
57,0,1,8,24,32,21.82,3.35,3.3,503.2,0,0,0,0,0,1,1
58,0,1,12,,,41.78,8.4,4.4,380.3,0,,,0,0,2,0
59,0,1,16,,,44.23,10.72,,197.1,0,,,0,0,,0
60,0,0,41,0,0,81.15,21.34,,636.2,1,0,0,1,1,,1
61,0,1,174,,,49.68,43.74,3.1,464.4,1,,,0,1,1,0
62,0,1,70,,,56.45,31.32,2.7,203.8,1,,,0,1,1,0
63,0,1,96,,,106.1,52.55,2.9,346.5,1,,,1,1,1,0
64,0,1,29,,,25.64,9.52,3.5,515.5,0,,,0,0,1,1
65,0,0,60,60,60,58.79,11.43,,221.2,1,0,0,0,1,,0
66,0,1,22,,,57.94,16.72,,592.1,0,,,0,0,,1
67,0,0,10,,,35.59,3.38,3.3,184.1,0,,,0,0,1,0
68,0,1,17,,,59.94,14.69,3.8,1104.1,0,,,0,0,2,1
69,0,1,3100,27900,49600,65.62,89.53,6.4,1707.4,1,1,1,0,1,2,1
70,0,0,11,,,40.68,4.61,3.4,448,0,,,0,0,1,0
71,0,1,21,,,49.89,14.24,3.3,419.2,0,,,0,0,1,0
72,0,1,55,495,880,38.66,20.5,3.5,318.4,1,1,1,0,0,1,0
73,0,1,13,,,49.2,10.33,2.4,298,0,,,0,0,1,0
74,0,0,28,,,49.74,7.63,,987.9,0,,,0,0,,1
75,0,1,25,,,43.31,14.01,2.8,391,0,,,0,0,1,0
76,0,0,23,,,47.27,6.74,3.9,240.9,0,,,0,0,2,0
77,0,0,9,,,38.78,4.08,3.8,277.5,0,,,0,0,2,0
78,0,1,12,108,192,83.97,15.93,3.1,551,0,0,0,1,0,1,1
79,0,0,435,1305,1740,50.17,9.1,3.5,5833.5,1,1,1,0,0,1,1
80,0,1,19,,,47.05,12.68,2.9,431.7,0,,,0,0,1,0
81,0,1,824,,,120.4,85.9,6.3,3648.4,1,,,1,1,2,1
82,0,1,72,,,90.81,43.28,3.4,1382.6,1,,,1,1,1,1
83,0,1,12,0,0,111.6,20.3,2.9,346.6,0,0,0,1,0,1,0
84,0,0,12,12,12,36.79,3.68,,307.7,0,0,0,0,0,,0
85,0,0,17,,,38.01,4.05,,216.1,0,,,0,0,,0
86,0,1,22,,,77.75,21.42,3,382.9,0,,,1,0,1,0
87,0,1,15,,,70.47,15.68,4,773.7,0,,,1,0,2,1
88,0,0,24,,,47,6.68,3.9,922.2,0,,,0,0,2,1
89,0,1,20,180,320,52.58,14.48,2.8,315.1,0,0,1,0,0,1,0
90,0,0,18,,,30.81,2.51,3.3,374.7,0,,,0,0,1,0
91,0,1,10,30,40,83.65,14.18,3.9,244.8,0,0,0,1,0,2,0
92,0,1,18,,,106.1,24.54,4,543.6,0,,,1,0,2,1
93,0,0,8,24,32,30.87,2.4,3.8,316.1,0,0,0,0,0,2,0
94,0,0,19,,,41.67,5.03,3.2,273.4,0,,,0,0,1,0
95,0,1,22,198,352,59.96,17.22,3.5,3079.2,0,0,1,0,0,1,1
96,0,1,1145,10305,18320,65.74,80.51,4.9,1733.3,1,1,1,0,1,2,1
97,0,0,8,8,8,61.43,11.21,2.7,455.9,0,0,0,0,0,1,0
98,0,1,2911,26199,46576,137.8,94.64,4.5,1381.4,1,1,1,1,1,2,1
99,0,1,10,,,51.99,9.15,3.8,296.6,0,,,0,0,2,0
100,0,1,99,297,396,70.17,42.42,,447.8,1,1,1,1,1,,0
101,0,1,7,63,112,140.1,17.86,4.4,597.3,0,0,0,1,0,2,1
102,0,0,13,,,178.2,62.15,2.9,938.1,0,,,1,1,1,1
103,0,0,21,63,84,61.3,11.78,3.9,500,0,0,0,0,1,2,0
104,0,1,31,93,124,102.8,31.9,3.7,1189.8,0,0,0,1,1,2,1
105,0,1,47,141,188,49.06,22.74,3.2,393.4,1,0,0,0,0,1,0
106,0,1,15,135,240,81.79,17.84,3.3,259.9,0,0,0,1,0,1,0
