adm_code,municipality,sector,activity,organisation,status,startdate,enddate,moreinfo,quantity
SY0204,A'zaz,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Plastic Rolls,100
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,OFDA,Completed,2015,2015,Blankets,4897
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,China Red Cross,Completed,2015,2015,Food parcels,325
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Italian Red Cross,Completed,2015,2015,Food parcels,1016
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,15660
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Taiwan Red Cross,Completed,2015,2015,Food parcels,2628
SY0200,Jebel Saman,WASH/WATSAN,Distribution,Australian Red Cross,Completed,2015,2015,Hygiene kits,2077
SY0200,Jebel Saman,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,15039
SY0200,Jebel Saman,WASH/WATSAN,Distribution,Swedish Red Cross,Completed,2015,2015,Hygiene kits,10564
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Plastic Rolls,2938
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,2705
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,OFDA,Completed,2015,2015,Sleeping Mat(Moquette) ,1388
SY0200,Jebel Saman,Protection,Distribution,Swedish Red Cross,Completed,2015,2015,Dignity Kits/Women's Emergency kits,505
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,2000
SY0100,Damascus,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,12848
SY0100,Damascus,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,1000
SY0100,Damascus,WASH/WATSAN,Distribution,Australian Red Cross,Completed,2015,2015,Hygiene kits,861
SY0100,Damascus,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,2413
SY0100,Damascus,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,2288
SY0100,Damascus,WASH/WATSAN,Distribution,Swedish Red Cross,Completed,2015,2015,Hygiene kits,1862
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,ECHO,Completed,2015,2015,Kitchen sets,6968
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,2108
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Plastic Rolls,2973
SY0406,Al Makhrim,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,165
SY0406,Al Makhrim,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,1900
SY0406,Al Makhrim,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,70
SY0406,Al Makhrim,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,760
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,8000
SY0402,Al Quasir,Food Security/Nutrition/Livelihood,Distribution,Norway Red Cross,Completed,2015,2015,Food parcels,360
SY0402,Al Quasir,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,360
SY0402,Al Quasir,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,593
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,Netherlands Red Cross,Completed,2015,2015,Mattresses,500
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,Swedish Red Cross,Completed,2015,2015,Mattresses,1500
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3300
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,850
SY0404,Ar Rastan,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,790
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,8200
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Taiwan Red Cross,Completed,2015,2015,Food parcels,304
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Netherlands Red Cross,Completed,2015,2015,Mattresses,1500
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Swedish Red Cross,Completed,2015,2015,Mattresses,1500
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Plastic Rolls,212
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,4350
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,147
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,476
SY0401,Homs,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,655
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,4000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Plastic Rolls,100
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,4318
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,41976
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Italian Red Cross,Completed,2015,2015,Food parcels,1542
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,10274
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Norway Red Cross,Completed,2015,2015,Food parcels,456
SY0401,Homs,WASH/WATSAN,Distribution,Australian Red Cross,Completed,2015,2015,Hygiene kits,1030
SY0401,Homs,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,3337
SY0401,Homs,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,5297
SY0401,Homs,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,181
SY0401,Homs,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,2530
SY0401,Homs,WASH/WATSAN,Distribution,Swedish Red Cross,Completed,2015,2015,Hygiene kits,6269
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,430
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,12983
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,5550
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,353
SY0401,Homs,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,360
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,80
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,250
SY0401,Homs,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,1500
SY0403,Tall Kalakh,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,1247
SY0403,Tall Kalakh,WASH/WATSAN,Distribution,Italian Red Cross,Completed,2015,2015,Hygiene kits,1205
SY0403,Tall Kalakh,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,2500
SY0403,Tall Kalakh,WASH/WATSAN,Distribution,Australian Red Cross,Completed,2015,2015,Hygiene kits,2442
SY0403,Tall Kalakh,WASH/WATSAN,Distribution,Finnish Red Cross,Completed,2015,2015,Hygiene kits,3408
SY0403,Tall Kalakh,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,1601
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,1000
SY0602,Jablah,WASH/WATSAN,Distribution,British Red Cross,Completed,2015,2015,Hygiene kits,1300
