countryName,continentName,continent
Andorra,Europe,EU
United Arab Emirates,Asia,AS
Afghanistan,Asia,AS
Antigua and Barbuda,North America,NA
Anguilla,North America,NA
Albania,Europe,EU
Armenia,Asia,AS
Angola,Africa,AF
Antarctica,Antarctica,AN
Argentina,South America,SA
American Samoa,Oceania,OC
Austria,Europe,EU
Australia,Oceania,OC
Aruba,North America,NA
Åland,Europe,EU
Azerbaijan,Asia,AS
Bosnia and Herzegovina,Europe,EU
Barbados,North America,NA
Bangladesh,Asia,AS
Belgium,Europe,EU
Burkina Faso,Africa,AF
Bulgaria,Europe,EU
Bahrain,Asia,AS
Burundi,Africa,AF
Benin,Africa,AF
Saint Barthélemy,North America,NA
Bermuda,North America,NA
Brunei,Asia,AS
Bolivia,South America,SA
Bonaire,North America,NA
Brazil,South America,SA
Bahamas,North America,NA
Bhutan,Asia,AS
Bouvet Island,Antarctica,AN
Botswana,Africa,AF
Belarus,Europe,EU
Belize,North America,NA
Canada,North America,NA
Cocos [Keeling] Islands,Asia,AS
Democratic Republic of the Congo,Africa,AF
Central African Republic,Africa,AF
Republic of the Congo,Africa,AF
Switzerland,Europe,EU
Ivory Coast,Africa,AF
Cook Islands,Oceania,OC
Chile,South America,SA
Cameroon,Africa,AF
China,Asia,AS
Colombia,South America,SA
Costa Rica,North America,NA
Cuba,North America,NA
Cape Verde,Africa,AF
Curacao,North America,NA
Christmas Island,Asia,AS
Cyprus,Europe,EU
Czech Republic,Europe,EU
Germany,Europe,EU
Djibouti,Africa,AF
Denmark,Europe,EU
Dominica,North America,NA
Dominican Republic,North America,NA
Algeria,Africa,AF
Ecuador,South America,SA
Estonia,Europe,EU
Egypt,Africa,AF
Western Sahara,Africa,AF
Eritrea,Africa,AF
Spain,Europe,EU
Ethiopia,Africa,AF
Finland,Europe,EU
Fiji,Oceania,OC
Falkland Islands,South America,SA
Micronesia,Oceania,OC
Faroe Islands,Europe,EU
France,Europe,EU
Gabon,Africa,AF
United Kingdom,Europe,EU
Grenada,North America,NA
Georgia,Asia,AS
French Guiana,South America,SA
Guernsey,Europe,EU
Ghana,Africa,AF
Gibraltar,Europe,EU
Greenland,North America,NA
Gambia,Africa,AF
Guinea,Africa,AF
Guadeloupe,North America,NA
Equatorial Guinea,Africa,AF
Greece,Europe,EU
South Georgia and the South Sandwich Islands,Antarctica,AN
Guatemala,North America,NA
Guam,Oceania,OC
Guinea-Bissau,Africa,AF
Guyana,South America,SA
Hong Kong,Asia,AS
Heard Island and McDonald Islands,Antarctica,AN
Honduras,North America,NA
Croatia,Europe,EU
Haiti,North America,NA
Hungary,Europe,EU
Indonesia,Asia,AS
Ireland,Europe,EU
Israel,Asia,AS
Isle of Man,Europe,EU
India,Asia,AS
British Indian Ocean Territory,Asia,AS
Iraq,Asia,AS
Iran,Asia,AS
Iceland,Europe,EU
Italy,Europe,EU
Jersey,Europe,EU
Jamaica,North America,NA
Jordan,Asia,AS
Japan,Asia,AS
Kenya,Africa,AF
Kyrgyzstan,Asia,AS
Cambodia,Asia,AS
Kiribati,Oceania,OC
Comoros,Africa,AF
Saint Kitts and Nevis,North America,NA
North Korea,Asia,AS
South Korea,Asia,AS
Kuwait,Asia,AS
Cayman Islands,North America,NA
Kazakhstan,Asia,AS
Laos,Asia,AS
Lebanon,Asia,AS
Saint Lucia,North America,NA
Liechtenstein,Europe,EU
Sri Lanka,Asia,AS
Liberia,Africa,AF
Lesotho,Africa,AF
Lithuania,Europe,EU
Luxembourg,Europe,EU
Latvia,Europe,EU
Libya,Africa,AF
Morocco,Africa,AF
Monaco,Europe,EU
Moldova,Europe,EU
Montenegro,Europe,EU
Saint Martin,North America,NA
Madagascar,Africa,AF
Marshall Islands,Oceania,OC
Macedonia,Europe,EU
Mali,Africa,AF
Myanmar [Burma],Asia,AS
Mongolia,Asia,AS
Macao,Asia,AS
Northern Mariana Islands,Oceania,OC
Martinique,North America,NA
Mauritania,Africa,AF
Montserrat,North America,NA
Malta,Europe,EU
Mauritius,Africa,AF
Maldives,Asia,AS
Malawi,Africa,AF
Mexico,North America,NA
Malaysia,Asia,AS
Mozambique,Africa,AF
Namibia,Africa,AF
New Caledonia,Oceania,OC
Niger,Africa,AF
Norfolk Island,Oceania,OC
Nigeria,Africa,AF
Nicaragua,North America,NA
Netherlands,Europe,EU
Norway,Europe,EU
Nepal,Asia,AS
Nauru,Oceania,OC
Niue,Oceania,OC
New Zealand,Oceania,OC
Oman,Asia,AS
Panama,North America,NA
Peru,South America,SA
