Year,Country,Population,Refugee,Continent
2008,Afghanistan,26528741,,Asia
2010,Afghanistan,27962207,,Asia
2012,Afghanistan,29726803,1,Asia
2014,Afghanistan,31627506,,Asia
2008,Albania,2947314,,Europe
2010,Albania,2913021,,Europe
2012,Albania,2900489,0,Europe
2014,Albania,2894475,,Europe
2008,Algeria,34811059,,Africa
2010,Algeria,36036159,,Africa
2012,Algeria,37439427,0,Africa
2014,Algeria,38934334,0,Africa
2008,Angola,19842251,,Africa
2010,Angola,21219954,,Africa
2012,Angola,22685632,0,Africa
2014,Angola,24227524,,Africa
2008,Antigua/Barbuda,85350,,North America
2010,Antigua/Barbuda,87233,,North America
2012,Antigua/Barbuda,89069,,North America
2014,Antigua/Barbuda,90900,,North America
2008,Argentina,40381860,,South America
2010,Argentina,41222875,,South America
2012,Argentina,42095224,40,South America
2014,Argentina,42980026,233,South America
2008,Armenia,2975029,,Asia
2010,Armenia,2963496,,Asia
2012,Armenia,2978339,136,Asia
2014,Armenia,3006154,14994,Asia
2008,Aruba,101342,,North America
2010,Aruba,101597,,North America
2012,Aruba,102393,,North America
2014,Aruba,103441,,North America
2008,Australia,21249200,74,Oceania
2010,Australia,22031750,68,Oceania
2012,Australia,22728254,204,Oceania
2014,Australia,23470118,302,Oceania
2008,Austria,8321496,333,Europe
2010,Austria,8363404,505,Europe
2012,Austria,8429991,1675,Europe
2014,Austria,8545908,2748,Europe
2008,Azerbaijan,8763400,,Asia
2010,Azerbaijan,9054332,,Asia
2012,Azerbaijan,9295784,3,Asia
2014,Azerbaijan,9535079,7,Asia
2008,Bahamas,348587,,North America
2010,Bahamas,360830,,North America
2012,Bahamas,372388,,North America
2014,Bahamas,383054,,North America
2008,Bahrain,1115777,,Asia
2010,Bahrain,1261319,,Asia
2012,Bahrain,1333577,0,Asia
2014,Bahrain,1361930,,Asia
2008,Bangladesh,148252473,,Asia
2010,Bangladesh,151616777,,Asia
2012,Bangladesh,155257387,,Asia
2014,Bangladesh,159077513,,Asia
2008,Barbados,277315,,North America
2010,Barbados,279566,,North America
2012,Barbados,281580,,North America
2014,Barbados,283380,,North America
2008,Belarus,9528000,,Europe
2010,Belarus,9490000,,Europe
2012,Belarus,9464000,0,Europe
2014,Belarus,9470000,72,Europe
2008,Belgium,10709973,152,Europe
2010,Belgium,10895586,229,Europe
2012,Belgium,11128246,355,Europe
2014,Belgium,11231213,2620,Europe
2008,Belize,306165,,North America
2010,Belize,321609,,North America
2012,Belize,336707,,North America
2014,Belize,351706,,North America
2008,Benin,8973525,1,Africa
2010,Benin,9509798,1,Africa
2012,Benin,10049792,1,Africa
2014,Benin,10598482,,Africa
2008,Bhutan,694990,,Asia
2010,Bhutan,720246,,Asia
2012,Bhutan,743711,,Asia
2014,Bhutan,765008,,Asia
2008,Bolivia,9599916,,South America
2010,Bolivia,9918245,0,South America
2012,Bolivia,10238762,,South America
2014,Bolivia,10238762,6,South America
2008,Bonaire,,,North America
2010,Bonaire,,,North America
2012,Bonaire,,,North America
2014,Bonaire,,,North America
2008,Bosnia and Herzegovina,3839749,1,Europe
2010,Bosnia and Herzegovina,3835258,1,Europe
2012,Bosnia and Herzegovina,3828419,5,Europe
2014,Bosnia and Herzegovina,3817554,25,Europe
2008,Botswana,1967866,,Africa
2010,Botswana,2047831,,Africa
2012,Botswana,2132822,,Africa
2014,Botswana,2219937,,Africa
2008,Brazil,194769696,5,South America
2010,Brazil,198614208,5,South America
2012,Brazil,202401584,42,South America
2014,Brazil,206077898,1739,South America
2008,British Virgin Islands,,,North America
2010,British Virgin Islands,,,North America
2012,British Virgin Islands,,,North America
2014,British Virgin Islands,,,North America
2008,Brunei Darussalam,380786,,Asia
2010,Brunei Darussalam,393302,,Asia
2012,Brunei Darussalam,405512,,Asia
2014,Brunei Darussalam,417394,,Asia
2008,Bulgaria,7492561,86,Europe
2010,Bulgaria,7395599,95,Europe
2012,Bulgaria,7305888,97,Europe
2014,Bulgaria,7223938,8501,Europe
2008,Burkina Faso,14709011,,Africa
2010,Burkina Faso,15632066,,Africa
2012,Burkina Faso,16590813,,Africa
2014,Burkina Faso,17589198,,Africa
2014,Burundi,10816860,,Africa
2008,Burundi ,14709011,,Africa
2010,Burundi ,9461117,,Africa
2012,Burundi ,10124572,,Africa
2008,Cabo Verde,483824,,Africa
2010,Cabo Verde,490379,,Africa
2012,Cabo Verde,500870,,Africa
2014,Cabo Verde,513906,,Africa
2008,Cambodia,13933660,,Asia
2010,Cambodia,14363586,,Asia
2012,Cambodia,14832255,0,Asia
2014,Cambodia,15328136,0,Asia
2008,Cameroon,19570418,,Africa
2010,Cameroon,20590666,,Africa
2012,Cameroon,21659488,1,Africa
2014,Cameroon,22773014,,Africa
2008,Canada,33245773,603,North America
2010,Canada,34005274,545,North America
2012,Canada,34751476,533,North America
2014,Canada,35543658,705,North America
2008,Cayman Islands,52925,,North America
2010,Cayman Islands,55509,,North America
2012,Cayman Islands,57522,,North America
2014,Cayman Islands,59172,,North America
2008,Central African Rep.,4280405,,Africa
2010,Central African Rep.,4444973,,Africa
2012,Central African Rep.,4619500,,Africa
2014,Central African Rep.,4619500,0,Africa
2008,Chad,11139740,,Africa
2010,Chad,11896380,1,Africa
2012,Chad,12715465,4,Africa
2014,Chad,13587053,15,Africa
2008,Chile,16645940,,South America
2010,Chile,17015048,,South America
2012,Chile,17388437,0,South America
2014,Chile,17762647,6,South America
2008,China,1324655000,0,Asia
2010,China,1337705000,,Asia
2012,China,1350695000,,Asia
2014,China,1364270000,5,Asia
2008,"China, Hong Kong SAR",6957800,,Asia
2010,"China, Hong Kong SAR",7024200,,Asia
2012,"China, Hong Kong SAR",7154600,0,Asia
2014,"China, Hong Kong SAR",7241700,0,Asia
2008,"China, Macao SAR",507274,,Asia
2010,"China, Macao SAR",534626,0,Asia
2012,"China, Macao SAR",557763,0,Asia
2014,"China, Macao SAR",577914,0,Asia
2008,Colombia,44901660,,South America
2010,Colombia,45918101,,South America
2012,Colombia,46881018,1,South America
2014,Colombia,47791393,,South America
