Country Name,2008,2010,2012,2014,2015
Aruba,101342,101597,102393,103441,
Andorra,85616,84419,79316,72786,
Afghanistan,26528741,27962207,29726803,31627506,
Angola,19842251,21219954,22685632,24227524,
Albania,2947314,2913021,2900489,2894475,
Arab World,336662433,352640325,368914383,385272539,
United Arab Emirates,6900142,8329453,8952542,9086139,
Argentina,40381860,41222875,42095224,42980026,
Armenia,2975029,2963496,2978339,3006154,
American Samoa,57031,55636,55227,55434,
Antigua and Barbuda,85350,87233,89069,90900,
Australia,21249200,22031750,22728254,23470118,
Austria,8321496,8363404,8429991,8545908,
Azerbaijan,8763400,9054332,9295784,9535079,
Burundi,8821795,9461117,10124572,10816860,
Belgium,10709973,10895586,11128246,11231213,
Benin,8973525,9509798,10049792,10598482,
Burkina Faso,14709011,15632066,16590813,17589198,
Bangladesh,148252473,151616777,155257387,159077513,
Bulgaria,7492561,7395599,7305888,7223938,
Bahrain,1115777,1261319,1333577,1361930,
"Bahamas, The",348587,360830,372388,383054,
Bosnia and Herzegovina,3839749,3835258,3828419,3817554,
Belarus,9528000,9490000,9464000,9470000,
Belize,306165,321609,336707,351706,
Bermuda,65273,65124,64798,65181,
Bolivia,9599916,9918245,10238762,10561887,
Brazil,194769696,198614208,202401584,206077898,
Barbados,277315,279566,281580,283380,
Brunei Darussalam,380786,393302,405512,417394,
Bhutan,694990,720246,743711,765008,
Botswana,1967866,2047831,2132822,2219937,
Central African Republic,4280405,4444973,4619500,4804316,
Canada,33245773,34005274,34751476,35543658,
Central Europe and the Baltics,105126686,104543801,103935318,103488275,
Switzerland,7647675,7824909,7996861,8188102,
Channel Islands,157587,159583,161336,162917,
Chile,16645940,17015048,17388437,17762647,
China,1324655000,1337705000,1350695000,1364270000,
Cote d'Ivoire,19261647,20131707,21102641,22157107,
Cameroon,19570418,20590666,21659488,22773014,
"Congo, Rep.",3832771,4066078,4286188,4504962,
Colombia,44901660,45918101,46881018,47791393,
Comoros,665414,698695,733661,769991,
Cabo Verde,483824,490379,500870,513906,
Costa Rica,4429506,4545273,4654148,4757606,
Caribbean small states,6767278,6854569,6937108,7012857,
Cuba,11290239,11308133,11342631,11379111,
Curacao,145880,148703,152088,155909,
Cayman Islands,52925,55509,57522,59172,
Cyprus,1077010,1103685,1129303,1153658,
Czech Republic,10384603,10474410,10510785,10525347,
Germany,82110097,81776930,80425823,80970732,
Djibouti,809639,830802,853069,876174,
Dominica,70881,71167,71685,72341,
Denmark,5493621,5547683,5591572,5638530,
Dominican Republic,9636491,9897983,10155036,10405943,
Algeria,34811059,36036159,37439427,38934334,
East Asia & Pacific (developing only),1936736134,1963842316,1991783241,2020656037,
East Asia & Pacific (all income levels),2175660860,2204603357,2233925733,2264058207,
Europe & Central Asia (developing only),252523546,256272297,259879171,263565607,
Europe & Central Asia (all income levels),881895816,889046791,894249380,901978575,
Ecuador,14447600,14934692,15419493,15902916,
"Egypt, Arab Rep.",78976122,82040994,85660902,89579670,
Euro area,334270178,336142557,336141722,338302110,
Eritrea,4500638,4689664,4892233,5110444,
Spain,45954106,46576897,46773055,46476032,
Estonia,1337090,1331475,1322696,1314545,
Ethiopia,83079608,87561814,92191211,96958732,
European Union,501803925,504412209,505078760,507962837,
Fragile and conflict affected situations,409393653,429448546,450703885,472954698,
Finland,5313399,5363352,5413971,5461512,
Fiji,843206,859952,874158,886450,
France,64374990,65027512,65639975,66217509,
Faroe Islands,48629,48567,48393,48221,
"Micronesia, Fed. Sts.",104472,103619,103516,104044,
Gabon,1473741,1541936,1613489,1687673,
United Kingdom,61806995,62766365,63700300,64559135,
Georgia,4030000,3926000,3825000,3727000,
Ghana,23115919,24317734,25544565,26786598,
Guinea,10427356,11012406,11628767,12275527,
"Gambia, The",1586749,1693002,1807108,1928201,
Guinea-Bissau,1561293,1634196,1714620,1800513,
Equatorial Guinea,686223,728710,773729,820885,
Greece,11077841,11121341,11045011,10869637,
Grenada,103934,104677,105476,106349,
Greenland,56328,56905,56810,56295,
Guatemala,14106687,14732261,15368759,16015494,
Guam,158310,159440,162807,167543,
Guyana,748096,753362,758410,763893,
High income,1350539144,1368206193,1382426109,1398429060,
"Hong Kong SAR, China",6957800,7024200,7154600,7241700,
Honduras,7259470,7503875,7736131,7961680,
Heavily indebted poor countries (HIPC),594288511,628333588,664163813,701714118,
Croatia,4434508,4417781,4267558,4238389,
Haiti,9705130,9999617,10288828,10572029,
Hungary,10038188,10000023,9920362,9863183,
Indonesia,235360765,241613126,248037853,254454778,
Isle of Man,82737,84327,85779,87127,
India,1197070109,1230984504,1263589639,1295291543,
Not classified,,,,,
Ireland,4489544,4560155,4586897,4615693,
"Iran, Islamic Rep.",72530693,74253373,76156975,78143644,
Iraq,29163327,30868156,32780975,34812326,
Iceland,317414,318041,320716,327386,
Israel,7308800,7623600,7910500,8215700,
Italy,58826731,59277417,59539717,60789140,
Jamaica,2671934,2690824,2707805,2720554,
Jordan,5786000,6046000,6318000,6607000,
Japan,128063000,128070000,127561489,127131800,
Kazakhstan,15674000,16321581,16791425,17289224,
Kenya,38244442,40328313,42542978,44863583,
Kyrgyz Republic,5318700,5447900,5607200,5835500,
Cambodia,13933660,14363586,14832255,15328136,
Kiribati,98437,102648,106620,110470,
St. Kitts and Nevis,51093,52352,53650,54944,
"Korea, Rep.",48948698,49410366,50004441,50423955,
Kosovo,1747383,1775680,1805200,1823149,
Kuwait,2705290,3059473,3419581,3753121,
Latin America & Caribbean (developing only),489595358,501716478,513587153,525172706,
Lao PDR,6045439,6260544,6473050,6689300,
Lebanon,4109389,4337156,4440728,4546774,
Liberia,3672782,3957990,4190155,4396554,
Libya,6123022,6265697,6283403,6258984,
St. Lucia,172729,177397,180890,183645,
Latin America & Caribbean (all income levels),584435842,598662941,612617659,626269527,
Least developed countries: UN classification,808296705,847264134,888606627,931955068,
Low income,529119915,558333178,589368162,621977594,
Liechtenstein,35721,36276,36791,37286,
Sri Lanka,20246000,20653000,20424000,20771000,
Lower middle income,2626963721,2709446875,2793168923,2878467298,
Low & middle income,5407951155,5555493177,5706299280,5861262709,
Lesotho,1972194,2010586,2057331,2109197,
Lithuania,3198231,3097282,2987773,2932367,
Luxembourg,488650,506953,530946,556319,
Latvia,2177322,2097555,2034319,1993782,
"Macao SAR, China",507274,534626,557763,577914,
St. Martin (French part),29376,30235,30959,31530,
Morocco,31350544,32107739,32984190,33921203,
Monaco,35731,36845,37404,37623,
Moldova,3570108,3562045,3559519,3556397,
Madagascar,19926798,21079532,22293720,23571713,
Maldives,362000,367000,385000,401000,
Middle East & North Africa (all income levels),369228612,384945112,401144535,417451788,
Mexico,114972821,118617542,122070963,125385833,
Marshall Islands,52221,52428,52663,52898,
Middle income,4878831240,4997159999,5116931118,5239285115,
"Macedonia, FYR",2055266,2062443,2069270,2075625,
Mali,14223403,15167286,16112333,17086022,
Malta,409379,414508,419455,427364,
Myanmar,51030006,51733013,52543841,53437159,
Middle East & North Africa (developing only),320005139,331456852,344052017,357312867,
Montenegro,616969,619428,620601,621810,
Mongolia,2629666,2712657,2808339,2909871,
Northern Mariana Islands,57343,53860,53314,54541,
Mozambique,22994867,24321457,25732928,27216276,
Mauritania,3414552,3591400,3777067,3969625,
Mauritius,1244121,1250400,1255882,1260934,
Malawi,13904671,14769824,15700436,16695253,
Malaysia,27197419,28119500,29021940,29901997,
North America,337405012,343417455,348928352,354465895,
Namibia,2115703,2193643,2291645,2402858,
New Caledonia,242546,250000,258000,266000,
Niger,15085130,16291990,17635782,19113728,
Nigeria,151115683,159424742,168240403,177475986,
Nicaragua,5594524,5737722,5877034,6013913,
Netherlands,16445593,16615394,16754962,16865008,
High income: nonOECD,311513627,317681268,323348755,328773073,
Norway,4768212,4889252,5018573,5136886,
Nepal,26325183,26875910,27500515,28174724,
New Zealand,4259800,4350700,4408100,4509700,
High income: OECD,1039025517,1050524925,1059077354,1069655987,
OECD members,1224342695,1241452883,1255247572,1270974168,
Oman,2652281,2943747,3545192,4236057,
Other small states,18675657,19347061,20130977,20937048,
Pakistan,163096985,170043918,177392252,185044286,
Panama,3498679,3620506,3743761,3867535,
Peru,28642048,29373644,30158768,30973148,
