Year,Country,Population,Refugee,Continent
2010,Afghanistan,27962207,,Asia
2010,Albania,2913021,,Europe
2010,Algeria,36036159,,Africa
2010,Angola,21219954,,Africa
2010,Antigua/Barbuda,87233,,North America
2010,Argentina,41222875,,South America
2010,Armenia,2963496,,Asia
2010,Aruba,101597,,North America
2010,Australia,22031750,68,Oceania
2010,Austria,8363404,505,Europe
2010,Azerbaijan,9054332,,Asia
2010,Bahamas,360830,,North America
2010,Bahrain,1261319,,Asia
2010,Bangladesh,151616777,,Asia
2010,Barbados,279566,,North America
2010,Belarus,9490000,,Europe
2010,Belgium,10895586,229,Europe
2010,Belize,321609,,North America
2010,Benin,9509798,1,Africa
2010,Bhutan,720246,,Asia
2010,Bolivia (Plurinational State of),9918245,0,South America
2010,Bonaire,,,North America
2010,Bosnia and Herzegovina,3835258,1,Europe
2010,Botswana,2047831,,Africa
2010,Brazil,198614208,5,South America
2010,British Virgin Islands,,,North America
2010,Brunei Darussalam,393302,,Asia
2010,Bulgaria,7395599,95,Europe
2010,Burkina Faso,15632066,,Africa
2010,Burundi ,9461117,,Africa
2010,Cabo Verde,490379,,Africa
2010,Cambodia,14363586,,Asia
2010,Cameroon,20590666,,Africa
2010,Canada,34005274,545,North America
2010,Cayman Islands,55509,,North America
2010,Central African Rep,4444973,,Africa
2010,Chad,11896380,1,Africa
2010,Chile,17015048,,South America
2010,China,1337705000,,Asia
2010,"China, Hong Kong SAR",7024200,,Asia
2010,"China, Macao SAR",534626,0,Asia
2010,Colombia,45918101,,South America
2010,Comoros,698695,,Africa
2010,Congo,4066078,,Africa
2010,Costa Rica,4545273,,North America
2010,Cote d'Ivoire,20131707,,Africa
2010,Croatia,4417781,0,Europe
2010,Cuba,11308133,,North America
2010,Curacao,148703,,North America
2010,Cyprus,1103685,125,Europe
2010,Czech Rep,10474410,23,Europe
2010,Dem Rep of the Congo,65938712,0,Africa
2010,Denmark,5547683,750,Europe
2010,Dijbouti,,,Africa
2010,Dominican Rep,9897983,,North America
2010,Ecuador,14934692,9,South America
2010,Egypt,82040994,8,Africa
2010,El Salvador,6038306,,North America
2010,Equatorial Guinea,728710,,Africa
2010,Eritrea,4689664,,Africa
2010,Estonia,1331475,,Europe
2010,Ethiopia,87561814,,Africa
2010,Fiji,859952,,Oceania
2010,Finland,5363352,59,Europe
2010,France,65027512,280,Europe
2010,French Guiana,,,South America
2010,Gabon,1541936,,Africa
2010,Gambia,1693002,,Africa
2010,Georgia,3926000,,Asia
2010,Germany,81776930,10518,Europe
2010,Ghana,24317734,,Africa
2010,Greece,11121341,16,Europe
2010,Grenada,104677,,North America
2010,Guatemala,14732261,,North America
2010,Guinea,11012406,,Africa
2010,Guinea-Bissau,1634196,,Africa
2010,Guyana,753362,,South America
2010,Haiti,9999617,,North America
2010,Honduras,7503875,,North America
2010,Hungary,10000023,39,Europe
2010,Iceland,318041,1,Europe
2010,India,1230984504,,Asia
2010,Indonesia,241613126,,Asia
2010,Iran (Islamic Rep of),74253373,0,Asia
2010,Iraq,30868156,254,Asia
2010,Ireland,4560155,34,Europe
2010,Israel,7623600,,Asia
2010,Italy,59277417,211,Europe
2010,Jamaica,2690824,,North America
2010,Japan,128070000,,Asia
2010,Jordan,6046000,198,Asia
2010,Kazakhstan,16321581,,Asia
2010,Kenya,40328313,,Africa
2010,Kuwait,3059473,4,Asia
2010,Kyrgyzstan,5447900,11,Asia
2010,Lao People's Dem Rep,6260544,,Asia
2010,Latvia,2097555,,Europe
2010,Lebanon,4337156,64,Asia
2010,Lesotho,2010586,,Africa
2010,Liberia,3957990,,Africa
2010,Libya,6265697,,Africa
2010,Liechtenstein,36276,,Europe
2010,Lithuania,3097282,3,Europe
2010,Luxembourg,506953,0,Europe
2010,Madagascar,21079532,,Africa
2010,Malawi,14769824,,Africa
2010,Malaysia,28119500,0,Asia
2010,Mali,15167286,,Africa
2010,Malta,414508,33,Europe
2010,Mauritania,3591400,,Africa
2010,Mauritius,1250400,,Africa
2010,Mexico,118617542,,North America
2010,Microneesia (Federate States Of),103619,,Oceania
2010,Monaco,36845,,Europe
2010,Mongolia,2712657,,Asia
2010,Montenegro,619428,,Europe
2010,Montserrat,,,North America
2010,Morocco,32107739,,Africa
2010,Mozambique,24321457,,Africa
2010,Myanmar,51733013,,Asia
2010,Namibia,2193643,,Africa
2010,Nauru,,,Oceania
2010,Nepal,26875910,,Asia
2010,Netherlands,16615394,1186,Europe
2010,New Zealand,4350700,36,Oceania
2010,Nicaragua,5737722,,North America
2010,Niger,16291990,,Africa
2010,Nigeria,159424742,,Africa
2010,Norway,4889252,186,Europe
2010,Oman,2943747,7,Asia
2010,Pakistan,170043918,8,Asia
2010,Palau,20470,,Oceania
2010,Panama,3620506,,North America
2010,Papua New Guinea,6847517,,Oceania
2010,Paraguay,6209877,,South America
2010,Peru,29373644,,South America
2010,Philippines,93038902,,Asia
2010,Poland,38042794,8,Europe
2010,Portugal,10573100,,Europe
2010,Qatar,1765513,8,Asia
2010,Rep of Korea,49410366,,Asia
2010,Rep of Moldova,3562045,10,Europe
2010,Romania,20246871,21,Europe
2010,Russian Federation,142849449,5,Europe
2010,Rwanda,10293669,,Africa
2010,Saint Kitts and Nevis,52352,,North America
2010,Saint Lucia,177397,,North America
2010,Saint Vincent and the Grenadines,109316,,North America
2010,Saudi Arabia,28090647,14,Asia
2010,Senegal,12956791,,Africa
2010,Serbia  and Kosova,9067116,,Europe
2010,Sierra Leone,5775902,,Africa
2010,Singapore,5076732,,Asia
2010,Sint Maarten,35474,,North America
2010,Slovakia,5391428,22,Europe
2010,Slovenia,2048583,,Europe
2010,Solomon Islands,526177,,Oceania
2010,Somalia,9581714,,Africa
2010,South Africa,1629223562,,Africa
2010,South Sudan,10056475,,Africa
2010,Spain,46576897,35,Europe
2010,Sri Lanka,20653000,,Asia
2010,State of Palestine,,,Asia
2010,Sudan,36114885,,Africa
2010,Suriname,518141,,South America
2010,Swaziland,1193148,,Africa
2010,Sweden,9378126,1169,Europe
2010,Switzerland,7824909,694,Europe
2010,Syrian Arab Rep,20720602,,Asia
2010,Tajikistan,66692024,,Asia
2010,Thailand,66692024,0,Asia
2010,The former Yugoslav Republic of Macedonia,2062443,0,Europe
2010,Timor-Leste,1066409,,Asia
2010,Togo,6390851,,Africa
2010,Tonga,103947,,Oceania
2010,Trinidad and Tobago,1328095,,North America
2010,Tunisia,10547100,5,Africa
2010,Turkey,72310416,9,Asia
2010,Turkmenistan,5041995,,Asia
2010,Turks and Caicos Islands,30993,,North America
2010,Uganda,33149417,,Africa
2010,Ukraine,45870700,42,Europe
2010,United Arab Emirates,8329453,34,Asia
2010,United Kingdom,62766365,499,Europe
2010,United Rep of Tanzania,45648525,,Africa
2010,United States,309347057,312,North America
2010,Uruguay,3374414,,South America
2010,Uzbekistan,28562400,,Asia
2010,Vanuatu,236299,,Oceania
2010,Venezuela,28995745,,South America
2010,Viet Nam,86932500,,Asia
2010,Yemen,23591972,52,Asia
2010,Zambia,13917439,,Africa
2010,Zimbabwe,13973897,,Africa
