date,refugee,level_1,level_2,level_3,lati,longti
4/5/16,8511,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472
11/30/14,1338,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/1/14,1341.7333,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/2/14,1345.4667,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/3/14,1349.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/4/14,1352.9333,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/5/14,1356.6667,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/6/14,1360.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/7/14,1364.1333,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/8/14,1367.8667,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/9/14,1371.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/10/14,1375.3333,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/11/14,1379.0667,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/12/14,1382.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/13/14,1386.5333,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/14/14,1390.2667,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/15/14,1394,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/16/14,1396.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/17/14,1399.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/18/14,1402.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/19/14,1405.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/20/14,1408.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/21/14,1411.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/22/14,1414.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/23/14,1417,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/24/14,1419.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/25/14,1422.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/26/14,1425.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/27/14,1428.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/28/14,1431.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/29/14,1434.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/30/14,1437.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
12/31/14,1440,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/1/15,1439.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/2/15,1439.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/3/15,1439.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/4/15,1439.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/5/15,1439,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/6/15,1438.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/7/15,1438.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/8/15,1438.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/9/15,1438.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/10/15,1438,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/11/15,1437.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/12/15,1437.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/13/15,1437.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/14/15,1437.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/15/15,1437,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/16/15,1435.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/17/15,1434.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/18/15,1433.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/19/15,1432.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/20/15,1431.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/21/15,1430.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/22/15,1429.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/23/15,1428,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/24/15,1426.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/25/15,1425.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/26/15,1424.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/27/15,1423.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/28/15,1422.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/29/15,1421.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/30/15,1420.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
1/31/15,1419,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/1/15,1422.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/2/15,1425.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/3/15,1428.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/4/15,1431.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/5/15,1435,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/6/15,1438.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/7/15,1441.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/8/15,1444.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/9/15,1447.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/10/15,1451,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/11/15,1454.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/12/15,1457.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/13/15,1460.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/14/15,1463.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/15/15,1467,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/16/15,1465.3214,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/17/15,1463.6429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/18/15,1461.9643,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/19/15,1460.2857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/20/15,1458.6071,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/21/15,1456.9286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/22/15,1455.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/23/15,1453.5714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/24/15,1451.8929,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/25/15,1450.2143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/26/15,1448.5357,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/27/15,1446.8571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
2/28/15,1445.1786,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/1/15,1443.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/2/15,1441.8214,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/3/15,1440.1429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/4/15,1438.4643,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/5/15,1436.7857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/6/15,1435.1071,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/7/15,1433.4286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/8/15,1431.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/9/15,1430.0714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/10/15,1428.3929,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/11/15,1426.7143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/12/15,1425.0357,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/13/15,1423.3571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/14/15,1421.6786,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/15/15,1420,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/16/15,1421.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/17/15,1422.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/18/15,1424.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/19/15,1425.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/20/15,1426.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/21/15,1428.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/22/15,1429.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/23/15,1431,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/24/15,1432.375,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/25/15,1433.75,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/26/15,1435.125,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/27/15,1436.5,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/28/15,1437.875,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/29/15,1439.25,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/30/15,1440.625,IRQ,Duhok,Akre Settlement,36.7347,43.8796
3/31/15,1442,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/1/15,1442.7714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/2/15,1443.5429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/3/15,1444.3143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/4/15,1445.0857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/5/15,1445.8571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/6/15,1446.6286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/7/15,1447.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/8/15,1448.1714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/9/15,1448.9429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/10/15,1449.7143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/11/15,1450.4857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/12/15,1451.2571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/13/15,1452.0286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/14/15,1452.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/15/15,1453.5714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/16/15,1454.3429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/17/15,1455.1143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/18/15,1455.8857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/19/15,1456.6571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/20/15,1457.4286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/21/15,1458.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/22/15,1458.9714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/23/15,1459.7429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/24/15,1460.5143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/25/15,1461.2857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/26/15,1462.0571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/27/15,1462.8286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/28/15,1463.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/29/15,1464.3714,IRQ,Duhok,Akre Settlement,36.7347,43.8796
4/30/15,1465.1429,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/1/15,1465.9143,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/2/15,1466.6857,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/3/15,1467.4571,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/4/15,1468.2286,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/5/15,1469,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/6/15,1468.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/7/15,1467.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/8/15,1467.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/9/15,1466.6,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/10/15,1466,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/11/15,1465.4,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/12/15,1464.8,IRQ,Duhok,Akre Settlement,36.7347,43.8796
5/13/15,1464.2,IRQ,Duhok,Akre Settlement,36.7347,43.8796
