Date,Value,Code
12/06/30,924,EGY
12/07/31,1313,EGY
12/08/21,1554,EGY
12/08/27,1567,EGY
12/08/31,1695,EGY
12/09/04,1704,EGY
12/09/11,2099,EGY
12/09/18,2588,EGY
12/09/26,3869,EGY
12/10/01,3767,EGY
12/10/23,5530,EGY
12/10/30,5639,EGY
12/11/07,6097,EGY
12/11/13,6499,EGY
12/11/19,7728,EGY
12/11/27,8125,EGY
12/12/04,8858,EGY
12/12/11,10169,EGY
12/12/16,10474,EGY
12/12/18,10747,EGY
12/12/19,10823,EGY
12/12/22,11098,EGY
12/12/23,11190,EGY
12/12/24,11260,EGY
12/12/26,11280,EGY
12/12/27,11673,EGY
12/12/28,12219,EGY
12/12/29,12836,EGY
12/12/30,12915,EGY
12/12/31,13001,EGY
13/01/02,13059,EGY
13/01/06,13109,EGY
13/01/08,13192,EGY
13/01/09,13292,EGY
13/01/13,13556,EGY
13/01/14,13684,EGY
13/01/17,13874,EGY
13/01/20,13963,EGY
13/01/21,14060,EGY
13/01/22,14156,EGY
13/01/23,14248,EGY
13/01/27,14312,EGY
13/01/28,14375,EGY
13/01/29,14441,EGY
13/01/30,14478,EGY
13/02/02,14801,EGY
13/02/03,14878,EGY
13/02/04,14977,EGY
13/02/05,15057,EGY
13/02/09,16150,EGY
13/02/10,16195,EGY
13/02/11,16244,EGY
13/02/12,16308,EGY
13/02/13,16363,EGY
13/02/14,16910,EGY
13/02/15,17454,EGY
13/02/16,18139,EGY
13/02/17,18170,EGY
13/02/18,18245,EGY
13/02/19,18306,EGY
13/02/20,18404,EGY
13/02/21,18958,EGY
13/02/22,19591,EGY
13/02/24,19689,EGY
13/02/25,20064,EGY
13/02/26,20184,EGY
13/02/27,20292,EGY
13/02/28,20302,EGY
13/03/03,20531,EGY
13/03/05,20665,EGY
13/03/06,20743,EGY
13/03/12,21149,EGY
13/03/13,21442,EGY
13/03/14,21758,EGY
13/03/17,22522,EGY
13/03/19,23284,EGY
13/03/20,23568,EGY
13/03/21,23934,EGY
13/03/24,25604,EGY
13/03/25,26003,EGY
13/03/26,26412,EGY
13/03/27,26891,EGY
13/03/28,27295,EGY
13/03/31,27798,EGY
13/04/01,27857,EGY
13/04/02,28782,EGY
13/04/03,29786,EGY
13/04/04,31459,EGY
13/04/05,32297,EGY
13/04/07,34197,EGY
13/04/08,35054,EGY
13/04/12,36904,EGY
13/04/14,37126,EGY
13/04/15,37361,EGY
13/04/16,37657,EGY
13/04/17,38035,EGY
13/04/18,38416,EGY
13/04/22,38998,EGY
13/04/23,39273,EGY
13/04/30,45032,EGY
13/05/07,46502,EGY
13/05/12,47499,EGY
13/05/13,47927,EGY
13/05/15,48429,EGY
13/05/19,50372,EGY
13/05/20,50784,EGY
13/05/21,51171,EGY
13/05/22,51491,EGY
13/05/23,51917,EGY
13/05/26,52430,EGY
13/05/27,55378,EGY
13/05/28,56060,EGY
13/06/03,57467,EGY
13/06/04,57787,EGY
13/06/09,59885,EGY
13/06/12,62105,EGY
13/06/20,65726,EGY
13/06/23,66692,EGY
13/06/25,68492,EGY
13/06/26,69207,EGY
13/07/08,70140,EGY
