Year,Country,Population,Refugee,Continent
2012,Afghanistan,29726803,1,Asia
2012,Albania,2900489,0,Europe
2012,Algeria,37439427,0,Africa
2012,Angola,22685632,0,Africa
2012,Antigua/Barbuda,89069,,North America
2012,Argentina,42095224,40,South America
2012,Armenia,2978339,136,Asia
2012,Aruba,102393,,North America
2012,Australia,22728254,204,Oceania
2012,Austria,8429991,1675,Europe
2012,Azerbaijan,9295784,3,Asia
2012,Bahamas,372388,,North America
2012,Bahrain,1333577,0,Asia
2012,Bangladesh,155257387,,Asia
2012,Barbados,281580,,North America
2012,Belarus,9464000,0,Europe
2012,Belgium,11128246,355,Europe
2012,Belize,336707,,North America
2012,Benin,10049792,1,Africa
2012,Bhutan,743711,,Asia
2012,Bolivia (Plurinational State of),10238762,,South America
2012,Bonaire,,,North America
2012,Bosnia and Herzegovina,3828419,5,Europe
2012,Botswana,2132822,,Africa
2012,Brazil,202401584,42,South America
2012,British Virgin Islands,,,North America
2012,Brunei Darussalam,405512,,Asia
2012,Bulgaria,7305888,97,Europe
2012,Burkina Faso,16590813,,Africa
2012,Burundi ,10124572,,Africa
2012,Cabo Verde,500870,,Africa
2012,Cambodia,14832255,0,Asia
2012,Cameroon,21659488,1,Africa
2012,Canada,34751476,533,North America
2012,Cayman Islands,57522,,North America
2012,Central African Rep.,4619500,,Africa
2012,Chad,12715465,4,Africa
2012,Chile,17388437,0,South America
2012,China,1350695000,,Asia
2012,"China, Hong Kong SAR",7154600,0,Asia
2012,"China, Macao SAR",557763,0,Asia
2012,Colombia,46881018,1,South America
2012,Comoros,733661,,Africa
2012,Congo,70291160,,Africa
2012,Costa Rica,4654148,0,North America
2012,Cote d'Ivoire,21102641,,Africa
2012,Croatia,4267558,12,Europe
2012,Cuba,11342631,11,North America
2012,Curacao,152088,,North America
2012,Cyprus,1129303,139,Europe
2012,Czech Rep,10510785,54,Europe
2012,Dem Rep of the Congo,,,Africa
2012,Denmark,5591572,1903,Europe
2012,Dijbouti,,,Africa
2012,Dominican Rep,71685,7,North America
2012,Ecuador,15419493,11,South America
2012,Egypt,85660902,12836,Africa
2012,El Salvador,6072233,,North America
2012,Equatorial Guinea,773729,,Africa
2012,Eritrea,4892233,,Africa
2012,Estonia,1322696,,Europe
2012,Ethiopia,92191211,,Africa
2012,Fiji,874158,,Oceania
2012,Finland,5413971,218,Europe
2012,France,65639975,640,Europe
2012,French Guiana,,,South America
2012,Gabon,1613489,,Africa
2012,Gambia,1807108,,Africa
2012,Georgia,3825000,141,Asia
2012,Germany,80425823,18165,Europe
2012,Ghana,25544565,0,Africa
2012,Greece,11045011,20,Europe
2012,Grenada,105476,,North America
2012,Guatemala,15368759,,North America
2012,Guinea,11628767,,Africa
2012,Guinea-Bissau,1714620,,Africa
2012,Guyana,758410,,South America
2012,Haiti,10288828,,North America
2012,Honduras,7736131,,North America
2012,Hungary,9920362,86,Europe
2012,Iceland,320716,2,Europe
2012,India,1263589639,6,Asia
2012,Indonesia,248037853,5,Asia
2012,Iran (Islamic Rep of),76156975,,Asia
2012,Iraq,32780975,63586,Asia
2012,Ireland,4586897,38,Europe
2012,Israel,7910500,,Asia
2012,Italy,59539717,445,Europe
2012,Jamaica,2707805,,North America
2012,Japan,127561489,0,Asia
2012,Jordan,6318000,238798,Asia
2012,Kazakhstan,16791425,0,Asia
2012,Kenya,42542978,,Africa
2012,Kuwait,3419581,15,Asia
2012,Kyrgyzstan,5607200,7,Asia
2012,Lao People's Dem Rep,6473050,,Asia
2012,Latvia,2034319,17,Europe
2012,Lebanon,4440728,126939,Asia
2012,Lesotho,2057331,,Africa
2012,Liberia,4440728,,Africa
2012,Libya,6283403,0,Africa
2012,Liechtenstein,36791,,Europe
2012,Lithuania,2987773,5,Europe
2012,Luxembourg,530946,,Europe
2012,Madagascar,22293720,,Africa
2012,Malawi,15700436,,Africa
2012,Malaysia,29021940,4,Asia
2012,Mali,16112333,,Africa
2012,Malta,419455,191,Europe
2012,Mauritania,3777067,,Africa
2012,Mauritius,1255882,,Africa
2012,Mexico,122070963,2,North America
2012,Microneesia (Federate States Of),103516,,Oceania
2012,Monaco,37404,,Europe
2012,Mongolia,2808339,,Asia
2012,Montenegro,620601,0,Europe
2012,Montserrat,,,North America
2012,Morocco,32984190,0,Africa
2012,Mozambique,25732928,,Africa
2012,Myanmar,52543841,,Asia
2012,Namibia,2291645,,Africa
2012,Nauru,,,Oceania
2012,Nepal,27500515,,Asia
2012,Netherlands,16754962,1449,Europe
2012,New Zealand,4408100,41,Oceania
2012,Nicaragua,5877034,,North America
2012,Niger,17635782,0,Africa
2012,Nigeria,168240403,0,Africa
2012,Norway,5018573,565,Europe
2012,Oman,3545192,7,Asia
2012,Pakistan,177392252,11,Asia
2012,Palau,20756,,Oceania
2012,Panama,3743761,,North America
2012,Papua New Guinea,7154870,,Oceania
2012,Paraguay,6379162,,South America
2012,Peru,30158768,,South America
2012,Philippines,96017322,0,Asia
2012,Poland,38063164,17,Europe
2012,Portugal,10514844,0,Europe
2012,Qatar,2015624,8,Asia
2012,Rep of Korea,50004441,0,Asia
2012,Rep of Moldova,3559519,55,Europe
2012,Romania,20058035,152,Europe
2012,Russian Federation,143201676,53,Europe
2012,Rwanda,10817350,,Africa
2012,Saint Kitts and Nevis,53650,,North America
2012,Saint Lucia,180890,,North America
2012,Saint Vincent and the Grenadines,109334,,North America
2012,Saudi Arabia,29496047,14,Asia
2012,Senegal,13780108,,Africa
2012,Serbia and Kosovo (S/RES/1244 (1999)),9004277,0,Europe
2012,Sierra Leone,6043157,,Africa
2012,Singapore,5312437,,Asia
2012,Sint Maarten,34640,,North America
2012,Slovakia,5407579,24,Europe
2012,Slovenia,2057159,2,Europe
2012,Solomon Islands,549162,,Oceania
2012,Somalia,10033630,,Africa
2012,South Africa,52341695,2,Africa
2012,South Sudan,10980623,,Africa
2012,Spain,46773055,32,Europe
2012,Sri Lanka,20424000,1,Asia
2012,State of Palestine,,,Asia
2012,Sudan,37712420,0,Africa
2012,Suriname,528535,,South America
2012,Swaziland,1231694,,Africa
2012,Sweden,9519374,6051,Europe
2012,Switzerland,7996861,1391,Europe
2012,Syrian Arab Rep.,21427155,,Asia
2012,Tajikistan,7930929,,Asia
2012,Thailand,67164130,10,Asia
2012,The former Yugoslav Republic of Macedonia,2069270,0,Europe
2012,Timor-Leste,1148958,,Asia
2012,Togo,6745581,1,Africa
2012,Tonga,104769,,Oceania
2012,Trinidad and Tobago,1341579,,North America
2012,Tunisia,10777500,6,Africa
2012,Turkey,74099255,248466,Asia
2012,Turkmenistan,5172941,,Asia
2012,Turks and Caicos Islands,32430,,North America
2012,Uganda,35400620,0,Africa
2012,Ukraine,45593300,63,Europe
2012,United Arab Emirates,8952542,16,Asia
2012,United Kingdom,63700300,1717,Europe
2012,United Rep of Tanzania,48645709,0,Africa
2012,United States,314112078,1425,North America
2012,Uruguay,3396753,,South America
2012,Uzbekistan,29774500,,Asia
2012,Vanuatu,247498,,Oceania
2012,Venezuela,29854238,,South America
2012,Viet Nam,88809200,,Asia
2012,Yemen,24882792,42,Asia
2012,Zambia,14786581,,Africa
2012,Zimbabwe,14565482,,Africa
