date,level_1,level_2,level_3,lati,longti,refugee,sum_1,sum_2,sum_3,sum
2016/4/5,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,8511,632193,8511,8511,4778588,
2016/4/4,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/4/3,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/4/2,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/4/1,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/31,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/30,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/29,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/28,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/27,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/26,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/25,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/24,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/23,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/22,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/21,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/20,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/19,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/18,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/17,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/16,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/15,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/14,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/13,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/12,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/11,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/10,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/9,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/8,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/7,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/6,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/5,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/4,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/3,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/2,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/3/1,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/2/29,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/2/28,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
2016/2/27,JOR,Ajlun Governorate,Ajlun,32.3335,35.7472,0,0,0,0,0,
